id_projet,intitule,organisation,thematiques,odd,annee_debut,annee_fin,etat,resume,unites_admin2,partenaires,bailleurs,budget_eur,beneficiaires,_id,_submission_time
IFS-2024-011,Investissements de la diaspora dans les services de Trarza,geres,migr alim gouv,2 3 10 11 16 17,2024,2026,en_cours,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,MR-R04,Collectif des jeunes ruraux; Organisation paysanne faîtière,Fonds Sahel Solidaire,371000,2000,480011,2026-06-23T12:26:00
IFS-2022-012,Foyers améliorés et bois-énergie à Kédougou,gret,energie agri gouv,2 7 11 12 13 15 16 17,2022,2025,termine,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,SN-R01,Commission foncière communale; Association des ressortissants en France,Fonds Sahel Solidaire; Fonds pour les initiatives locales,454000,40000,480012,2026-08-26T18:59:00
IFS-2021-013,Diversification alimentaire des ménages de Trarza,ados,alim migr,2 3 10 17,2021,2025,termine,"Le projet améliore la sécurité alimentaire et nutritionnelle des ménages vulnérables, en lien avec les services de santé.",MR-R04,Agence régionale de développement; Fédération des éleveurs,Fonds Sahel Solidaire; Programme régional de résilience,126000,2350,480013,2026-06-13T08:08:00
IFS-2022-014,Assainissement et hygiène dans les écoles de Mamou,grdr,eau,3 6,2022,2025,termine,"Le projet améliore l'accès durable à l'eau potable et à l'assainissement, avec des comités de gestion formés et des tarifs concertés.",GN-R06,Réseau des maires riverains; Service régional de l'hydraulique,Fondation Horizon Fleuve,799000,8360,480014,2026-08-27T15:26:00
IFS-2025-015,Accès à l'eau potable dans les villages de Trarza,lp,eau,3 6,2025,2027,en_cours,"Le projet améliore l'accès durable à l'eau potable et à l'assainissement, avec des comités de gestion formés et des tarifs concertés.",MR-R04 MR-R01,Groupement de pêcheurs; Fédération des éleveurs,Programme Eau et Territoires,188000,5990,480015,2026-09-21T11:35:00
IFS-2023-016,Foyers améliorés et bois-énergie à Trarza,avsf,energie,7 13 15,2023,2026,en_cours,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,MR-R04,Union des groupements féminins; Mutuelle d'épargne et de crédit; Association des ressortissants en France,Programme Eau et Territoires,1573000,2850,480016,2026-06-19T13:34:00
IFS-2025-017,Points d'eau pastoraux et gestion concertée à Trarza,lp,elev risques,2 11 13 15,2025,2027,en_cours,"Le projet sécurise la mobilité du bétail, améliore l'accès à l'eau et aux soins vétérinaires et prévient les conflits d'usage.",MR-R04,Plateforme des acteurs non étatiques; Coopérative rizicole villageoise,Programme Eau et Territoires,386000,12530,480017,2026-09-20T16:16:00
IFS-2022-018,Restauration des terres dégradées autour de Kayes,avsf,energie eau,3 6 7 13 15,2022,2024,termine,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,ML-R01,Collectif des jeunes ruraux,Programme Eau et Territoires,392000,2130,480018,2026-07-10T09:32:00
IFS-2023-019,Points d'eau pastoraux et gestion concertée à Kédougou,geres,elev risques,2 11 13 15,2023,2025,termine,"Le projet sécurise la mobilité du bétail, améliore l'accès à l'eau et aux soins vétérinaires et prévient les conflits d'usage.",SN-R01 SN-R05,Mutuelle d'épargne et de crédit,Programme régional de résilience,251000,7080,480019,2026-06-27T16:15:00
IFS-2025-020,Diversification alimentaire des ménages de Dabola,geres,alim jeun,2 3 4 8,2025,2027,en_cours,"Le projet améliore la sécurité alimentaire et nutritionnelle des ménages vulnérables, en lien avec les services de santé.",GN-R01 GN-R03,Groupement de pêcheurs; Centre de formation agricole,Programme Eau et Territoires,114000,1630,480020,2026-07-24T11:55:00
IFS-2022-021,Investissements de la diaspora dans les services de Dabola,geres,migr,10 17,2022,2025,termine,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,GN-R01 GN-R03 GN-R06,Commission foncière communale; Organisation paysanne faîtière,Agence de coopération européenne,784000,1840,480021,2026-07-20T10:35:00
IFS-2022-022,Investissements de la diaspora dans les services de Saint-Louis,grdr,migr,10 17,2022,2025,termine,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,SN-R04,Comité villageois de gestion; Fédération des éleveurs,Programme Eau et Territoires,148000,7120,480022,2026-06-18T16:44:00
IFS-2025-023,Accueil et insertion des jeunes de retour à Trarza,geres,migr,10 17,2025,2027,en_cours,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,MR-R04,Agence régionale de développement,Agence de coopération européenne,236000,2460,480023,2026-08-12T16:44:00
IFS-2022-024,Points d'eau pastoraux et gestion concertée à Gorgol,gret,elev eau,2 3 6 15,2022,2026,en_cours,"Le projet sécurise la mobilité du bétail, améliore l'accès à l'eau et aux soins vétérinaires et prévient les conflits d'usage.",MR-R02 MR-R03,Coopérative rizicole villageoise; Union des groupements féminins,Fondation Terres d'avenir,154000,5780,480024,2026-06-15T16:46:00
IFS-2023-025,Banques de céréales villageoises de Mamou,avsf,alim eco,1 2 3 5 8,2023,2025,termine,"Le projet améliore la sécurité alimentaire et nutritionnelle des ménages vulnérables, en lien avec les services de santé.",GN-R06 GN-R01 GN-R02 GN-R03,Organisation paysanne faîtière; Plateforme des acteurs non étatiques,Fondation Terres d'avenir; Programme Eau et Territoires,292000,7630,480025,2026-07-28T08:52:00
IFS-2022-026,Prévention de la malnutrition infantile à Dinguiraye,gret,alim,2 3,2022,2023,termine,"Le projet améliore la sécurité alimentaire et nutritionnelle des ménages vulnérables, en lien avec les services de santé.",GN-R03 GN-R08 GN-R01,Union des groupements féminins; Commission foncière communale,Coopération décentralisée (collectivités partenaires),162000,4240,480026,2026-09-26T16:08:00
IFS-2022-027,Assainissement et hygiène dans les écoles de Mamou,lp,eau,3 6,2022,2026,en_cours,"Le projet améliore l'accès durable à l'eau potable et à l'assainissement, avec des comités de gestion formés et des tarifs concertés.",GN-R06,Réseau des maires riverains; Direction régionale de l'élevage,Fondation Horizon Fleuve; Fondation Terres d'avenir,202000,4320,480027,2026-06-18T12:52:00
IFS-2024-028,Accès à l'eau potable dans les villages de Brakna,geres,eau risques,3 6 11 13,2024,2027,en_cours,"Le projet améliore l'accès durable à l'eau potable et à l'assainissement, avec des comités de gestion formés et des tarifs concertés.",MR-R01,Plateforme des acteurs non étatiques; Mutuelle d'épargne et de crédit,Fonds Sahel Solidaire; Coopération décentralisée (collectivités partenaires),79000,3890,480028,2026-09-14T13:09:00
IFS-2025-029,Prévention de la malnutrition infantile à Mamou,grdr,alim,2 3,2025,2027,en_cours,"Le projet améliore la sécurité alimentaire et nutritionnelle des ménages vulnérables, en lien avec les services de santé.",GN-R06,Agence régionale de développement; Collectif des jeunes ruraux; Service régional de l'hydraulique,Programme régional de résilience,233000,4180,480029,2026-07-21T10:34:00
IFS-2025-030,Accompagnement des entreprises rurales de Dinguiraye,geres,eco,1 5 8,2025,2027,en_cours,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",GN-R03 GN-R07,Coopérative rizicole villageoise; Collectif des jeunes ruraux,Fondation Terres d'avenir,241000,2310,480030,2026-07-23T08:35:00
IFS-2023-031,"Filière riz local, de la parcelle au marché à Tambacounda",grdr,eco,1 5 8,2023,2026,en_cours,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",SN-R05 SN-R01,Fédération des éleveurs; Comité villageois de gestion; Organisation paysanne faîtière,Fonds Sahel Solidaire; Coopération décentralisée (collectivités partenaires),291000,11250,480031,2026-09-21T16:52:00
IFS-2023-032,Semences paysannes et sols vivants autour de Mamou,ados,agri elev gouv,2 11 12 15 16 17,2023,2026,en_cours,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R06 GN-R08 GN-R03,Direction régionale de l'élevage; Organisation paysanne faîtière,Fondation Horizon Fleuve,317000,3020,480032,2026-06-26T09:46:00
IFS-2024-033,Accompagnement des entreprises rurales de Koulikoro,ados,eco gouv,1 5 8 11 16 17,2024,2027,en_cours,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",ML-R02 ML-R01,Centre de formation agricole; Groupement de pêcheurs; Union des groupements féminins,Coopération décentralisée (collectivités partenaires),227000,2500,480033,2026-09-11T16:29:00
IFS-2023-034,Accompagnement des entreprises rurales de Tambacounda,gret,eco,1 5 8,2023,2025,termine,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",SN-R05,Commission foncière communale; Centre de formation agricole,Fonds Sahel Solidaire,397000,3100,480034,2026-09-22T08:15:00
IFS-2025-035,Accompagnement des entreprises rurales de Gorgol,geres,eco risques,1 5 8 11 13,2025,2026,en_cours,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",MR-R02,Plateforme des acteurs non étatiques; Fédération des éleveurs; Agence régionale de développement,Programme régional de résilience; Fondation Horizon Fleuve,767000,15830,480035,2026-08-12T10:41:00
IFS-2023-036,Maraîchage irrigué et agroécologie à Matam,gret,agri risques,2 11 12 13 15,2023,2026,en_cours,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",SN-R03,Commission foncière communale; Association des usagers du forage; Service régional de l'hydraulique,Fondation Horizon Fleuve,345000,11830,480036,2026-09-22T16:05:00
IFS-2022-037,Foyers améliorés et bois-énergie à Koubia,lp,energie elev,2 7 13 15,2022,2024,termine,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,GN-R04 GN-R05,Comité villageois de gestion; Collectif des jeunes ruraux,Fonds Sahel Solidaire,284000,4160,480037,2026-07-10T14:05:00
IFS-2024-038,Prévention de la malnutrition infantile à Mali,ados,alim,2 3,2024,2027,en_cours,"Le projet améliore la sécurité alimentaire et nutritionnelle des ménages vulnérables, en lien avec les services de santé.",GN-R05 GN-R04,Collectif des jeunes ruraux; Commission foncière communale,Fonds Sahel Solidaire; Programme régional de résilience,1331000,570,480038,2026-09-15T17:32:00
IFS-2023-039,Accès à l'eau potable dans les villages de Mali,ados,eau alim,2 3 6,2023,2025,termine,"Le projet améliore l'accès durable à l'eau potable et à l'assainissement, avec des comités de gestion formés et des tarifs concertés.",GN-R05,Comité villageois de gestion; Commission foncière communale,Fondation Terres d'avenir,802000,5700,480039,2026-08-24T15:46:00
IFS-2025-040,Mobilités et développement local à Kayes,grdr,migr,10 17,2025,2026,en_cours,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,ML-R01,Comité villageois de gestion; Collectif des jeunes ruraux,Coopération décentralisée (collectivités partenaires),348000,920,480040,2026-09-14T17:21:00
IFS-2022-041,"Filière riz local, de la parcelle au marché à Siguiri",lp,eco,1 5 8,2022,2024,termine,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",GN-R07,Commission foncière communale; Centre de formation agricole,Programme régional de résilience; Fonds pour les initiatives locales,144000,2280,480041,2026-06-19T08:51:00
IFS-2024-042,"Filière riz local, de la parcelle au marché à Mamou",gret,eco,1 5 8,2024,2026,en_cours,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",GN-R06,Centre de formation agricole; Mutuelle d'épargne et de crédit; Service régional de l'hydraulique,Fondation Terres d'avenir; Programme Eau et Territoires,598000,3230,480042,2026-06-13T11:13:00
IFS-2022-043,Centres de ressources pour la jeunesse à Brakna,ados,jeun risques,4 8 11 13,2022,2025,termine,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,MR-R01 MR-R02,Service régional de l'hydraulique; Comité villageois de gestion; Radio communautaire,Fonds Sahel Solidaire,191000,6190,480043,2026-06-20T18:09:00
IFS-2023-044,Énergie solaire pour les services de base à Koubia,gret,energie,7 13 15,2023,2026,en_cours,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,GN-R04 GN-R05,Réseau des maires riverains; Association des usagers du forage; Union des groupements féminins,Programme régional de résilience; Coopération décentralisée (collectivités partenaires),184000,1940,480044,2026-06-24T15:03:00
IFS-2021-045,Semences paysannes et sols vivants autour de Koubia,ados,agri,2 12 15,2021,2025,termine,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R04 GN-R05,Mutuelle d'épargne et de crédit; Association des usagers du forage,Fonds Sahel Solidaire,322000,5100,480045,2026-08-20T14:54:00
IFS-2022-046,Transformation agroalimentaire par les femmes de Tougué,grdr,eco alim gouv,1 2 3 5 8 11 16 17,2022,2026,en_cours,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",GN-R08,Mutuelle d'épargne et de crédit; Plateforme des acteurs non étatiques,Agence de coopération européenne,570000,16550,480046,2026-08-13T17:15:00
IFS-2025-047,Banques de céréales villageoises de Kédougou,lp,alim,2 3,2025,2026,en_cours,"Le projet améliore la sécurité alimentaire et nutritionnelle des ménages vulnérables, en lien avec les services de santé.",SN-R01 SN-R05,Mutuelle d'épargne et de crédit,Programme régional de résilience,430000,3240,480047,2026-08-28T14:22:00
IFS-2024-048,Accueil et insertion des jeunes de retour à Kédougou,gret,migr,10 17,2024,2025,termine,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,SN-R01 SN-R05,Coopérative rizicole villageoise,Fondation Terres d'avenir,207000,12950,480048,2026-08-22T12:58:00
IFS-2025-049,Restauration des terres dégradées autour de Trarza,ados,energie elev gouv,2 7 11 13 15 16 17,2025,2027,en_cours,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,MR-R04,Réseau des maires riverains; Coopérative rizicole villageoise,Coopération décentralisée (collectivités partenaires),315000,5760,480049,2026-06-12T09:50:00
IFS-2021-050,Maraîchage irrigué et agroécologie à Matam,ados,agri jeun,2 4 8 12 15,2021,2023,termine,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",SN-R03 SN-R02 SN-R04 SN-R05,Radio communautaire; Réseau des maires riverains; Organisation paysanne faîtière,Programme Eau et Territoires; Agence de coopération européenne,243000,15070,480050,2026-09-11T09:29:00
IFS-2023-051,Maraîchage irrigué et agroécologie à Tougué,lp,agri jeun risques,2 4 8 11 12 13 15,2023,2025,termine,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R08,Union des groupements féminins; Coopérative rizicole villageoise,Programme régional de résilience,967000,5090,480051,2026-09-12T13:25:00
IFS-2021-052,Points d'eau pastoraux et gestion concertée à Matam,geres,elev eau gouv,2 3 6 11 15 16 17,2021,2024,termine,"Le projet sécurise la mobilité du bétail, améliore l'accès à l'eau et aux soins vétérinaires et prévient les conflits d'usage.",SN-R03 SN-R05 SN-R04,Collectif des jeunes ruraux; Réseau des maires riverains,Agence de coopération européenne,482000,1720,480052,2026-06-22T12:37:00
IFS-2023-053,Énergie solaire pour les services de base à Mali,geres,energie,7 13 15,2023,2027,en_cours,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,GN-R05,Organisation paysanne faîtière; Commission foncière communale,Fonds Sahel Solidaire,420000,7650,480053,2026-07-19T09:16:00
IFS-2025-054,Assainissement et hygiène dans les écoles de Dinguiraye,ados,eau,3 6,2025,2026,en_cours,"Le projet améliore l'accès durable à l'eau potable et à l'assainissement, avec des comités de gestion formés et des tarifs concertés.",GN-R03,Comité villageois de gestion,Fondation Horizon Fleuve,179000,21570,480054,2026-08-13T12:31:00
IFS-2024-055,Semences paysannes et sols vivants autour de Mamou,avsf,agri,2 12 15,2024,2027,en_cours,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R06 GN-R02 GN-R01,Direction régionale de l'élevage; Plateforme des acteurs non étatiques,Fondation Terres d'avenir,289000,5400,480055,2026-06-10T14:29:00
IFS-2021-056,Formation professionnelle des jeunes ruraux de Louga,grdr,jeun alim,2 3 4 8,2021,2025,termine,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,SN-R02 SN-R04,Coopérative rizicole villageoise,Programme régional de résilience,193000,2360,480056,2026-08-15T14:57:00
IFS-2025-057,Accès à l'eau potable dans les villages de Tambacounda,gret,eau eco,1 3 5 6 8,2025,2027,en_cours,"Le projet améliore l'accès durable à l'eau potable et à l'assainissement, avec des comités de gestion formés et des tarifs concertés.",SN-R05 SN-R01 SN-R03,Organisation paysanne faîtière; Comité villageois de gestion; Service régional de l'hydraulique,Fonds pour les initiatives locales; Agence de coopération européenne,268000,2970,480057,2026-06-16T12:11:00
IFS-2023-058,Transformation agroalimentaire par les femmes de Matam,ados,eco,1 5 8,2023,2025,termine,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",SN-R03 SN-R04,Commission foncière communale; Comité villageois de gestion,Fonds Sahel Solidaire; Fondation Terres d'avenir,1692000,20570,480058,2026-09-26T16:27:00
IFS-2024-059,Santé animale de proximité à Koulikoro,avsf,elev,2 15,2024,2027,en_cours,"Le projet sécurise la mobilité du bétail, améliore l'accès à l'eau et aux soins vétérinaires et prévient les conflits d'usage.",ML-R02,Organisation paysanne faîtière; Union des groupements féminins,Agence de coopération européenne; Fonds Sahel Solidaire,578000,2130,480059,2026-08-25T12:29:00
IFS-2021-060,Transformation agroalimentaire par les femmes de Mamou,ados,eco,1 5 8,2021,2022,termine,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",GN-R06 GN-R02 GN-R08,Fédération des éleveurs,Fondation Horizon Fleuve,389000,4410,480060,2026-08-14T08:01:00
IFS-2022-061,Maraîchage irrigué et agroécologie à Mali,avsf,agri risques,2 11 12 13 15,2022,2025,termine,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R05,Radio communautaire,Programme régional de résilience; Coopération décentralisée (collectivités partenaires),164000,2010,480061,2026-06-23T14:54:00
IFS-2021-062,Foyers améliorés et bois-énergie à Matam,geres,energie risques,7 11 13 15,2021,2024,termine,Le projet diffuse des solutions énergétiques sobres et restaure les ressources naturelles avec les communautés.,SN-R03 SN-R02 SN-R05,Service régional de l'hydraulique; Fédération des éleveurs,Programme Eau et Territoires,193000,12620,480062,2026-09-24T08:32:00
IFS-2024-063,Formation professionnelle des jeunes ruraux de Matam,grdr,jeun eau,3 4 6 8,2024,2026,en_cours,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,SN-R03 SN-R02 SN-R04,Plateforme des acteurs non étatiques,Fonds Sahel Solidaire,402000,1570,480063,2026-08-27T09:08:00
IFS-2022-064,Semences paysannes et sols vivants autour de Tougué,grdr,agri,2 12 15,2022,2024,termine,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R08 GN-R06 GN-R04,Plateforme des acteurs non étatiques; Réseau des maires riverains; Comité villageois de gestion,Programme régional de résilience; Fonds Sahel Solidaire,324000,2160,480064,2026-08-27T09:08:00
IFS-2023-065,Assainissement et hygiène dans les écoles de Trarza,geres,eau gouv,3 6 11 16 17,2023,2025,termine,"Le projet améliore l'accès durable à l'eau potable et à l'assainissement, avec des comités de gestion formés et des tarifs concertés.",MR-R04,Réseau des maires riverains; Union des groupements féminins,Agence de coopération européenne; Fonds Sahel Solidaire,305000,5900,480065,2026-09-15T16:14:00
IFS-2024-066,Aménagement de petits périmètres irrigués à Koubia,avsf,agri,2 12 15,2024,2027,en_cours,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R04 GN-R08,Collectif des jeunes ruraux; Centre de formation agricole,Fonds pour les initiatives locales; Programme régional de résilience,320000,1820,480066,2026-09-16T18:30:00
IFS-2024-067,Maraîchage irrigué et agroécologie à Mamou,ados,agri gouv,2 11 12 15 16 17,2024,2026,en_cours,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R06 GN-R01 GN-R03 GN-R08,Réseau des maires riverains; Agence régionale de développement,Fondation Terres d'avenir; Programme régional de résilience,91000,3120,480067,2026-09-20T11:16:00
IFS-2025-068,Accompagnement des entreprises rurales de Guidimaka,lp,eco,1 5 8,2025,2026,en_cours,"Le projet accompagne des activités économiques locales, de la production à la commercialisation, avec un accent sur l'emploi des femmes et des jeunes.",MR-R03,Association des usagers du forage; Coopérative rizicole villageoise; Collectif des jeunes ruraux,Coopération décentralisée (collectivités partenaires),435000,12610,480068,2026-07-21T09:26:00
IFS-2023-069,Aménagement de petits périmètres irrigués à Koulikoro,ados,agri,2 12 15,2023,2026,en_cours,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",ML-R02 ML-R01,Collectif des jeunes ruraux; Mutuelle d'épargne et de crédit,Programme Eau et Territoires,203000,1790,480069,2026-06-21T10:00:00
IFS-2022-070,Sécurisation des parcours pastoraux autour de Dabola,gret,elev eau,2 3 6 15,2022,2023,termine,"Le projet sécurise la mobilité du bétail, améliore l'accès à l'eau et aux soins vétérinaires et prévient les conflits d'usage.",GN-R01 GN-R06 GN-R03,Association des usagers du forage; Service régional de l'hydraulique; Mutuelle d'épargne et de crédit,Fonds Sahel Solidaire,152000,7650,480070,2026-07-15T10:13:00
IFS-2022-071,Formation professionnelle des jeunes ruraux de Mamou,geres,jeun risques,4 8 11 13,2022,2024,termine,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,GN-R06 GN-R03 GN-R02,Commission foncière communale; Association des ressortissants en France,Fonds Sahel Solidaire,184000,6040,480071,2026-07-25T12:16:00
IFS-2024-072,Insertion des jeunes par les métiers de l'eau à Koubia,geres,jeun eco risques,1 4 5 8 11 13,2024,2026,en_cours,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,GN-R04,Service régional de l'hydraulique; Agence régionale de développement,Programme régional de résilience; Fondation Terres d'avenir,211000,4510,480072,2026-07-22T16:54:00
IFS-2024-073,Maraîchage irrigué et agroécologie à Mali,grdr,agri,2 12 15,2024,2026,en_cours,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R05 GN-R04,Union des groupements féminins; Comité villageois de gestion,Coopération décentralisée (collectivités partenaires),54000,790,480073,2026-07-23T14:43:00
IFS-2024-074,Investissements de la diaspora dans les services de Kédougou,lp,migr,10 17,2024,2027,en_cours,Le projet valorise la contribution des migrants et de leurs associations au développement de leur territoire d'origine.,SN-R01 SN-R05,Association des ressortissants en France; Collectif des jeunes ruraux,Fondation Horizon Fleuve,589000,4020,480074,2026-09-23T17:21:00
IFS-2024-075,Insertion des jeunes par les métiers de l'eau à Guidimaka,geres,jeun agri gouv,2 4 8 11 12 15 16 17,2024,2025,termine,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,MR-R03 MR-R02,Groupement de pêcheurs; Plateforme des acteurs non étatiques,Fondation Horizon Fleuve,496000,960,480075,2026-09-14T12:54:00
IFS-2024-076,Insertion des jeunes par les métiers de l'eau à Trarza,ados,jeun gouv,4 8 11 16 17,2024,2026,en_cours,Le projet propose des formations qualifiantes et un accompagnement vers l'emploi aux jeunes du territoire.,MR-R04,Agence régionale de développement; Radio communautaire,Programme régional de résilience,362000,3660,480076,2026-09-24T10:41:00
IFS-2024-077,Maraîchage irrigué et agroécologie à Dabola,avsf,agri risques,2 11 12 13 15,2024,2027,en_cours,"Le projet renforce les exploitations familiales grâce à des pratiques agroécologiques, un meilleur accès à l'eau d'irrigation et au conseil agricole.",GN-R01 GN-R06 GN-R03,Coopérative rizicole villageoise; Collectif des jeunes ruraux,Agence de coopération européenne; Fonds pour les initiatives locales,527000,11990,480077,2026-09-12T13:42:00
